search_term,matched,knowledge_id,scope,topic,source_id,source_locator,passed
病假单,TRUE,KI-OFF-LEAVE-SICK,OFFICIAL_POLICY,病假材料,S002,第十二条,PASS
医院证明,TRUE,KI-OFF-LEAVE-SICK,OFFICIAL_POLICY,病假材料,S002,第十二条,PASS
续假,TRUE,KI-OFF-LEAVE-RENEW,OFFICIAL_POLICY,续假与销假,S002,第十二条,PASS
销假,TRUE,KI-OFF-LEAVE-RENEW,OFFICIAL_POLICY,续假与销假,S002,第十二条,PASS
不能按时返校,TRUE,KI-OFF-LEAVE-RENEW,OFFICIAL_POLICY,续假与销假,S002,第十二条,PASS
忘记请假,TRUE,KI-OFF-LEAVE-RETRO,OFFICIAL_POLICY,事后补假,S002,第十二条,PASS
请假四天谁审批,TRUE,KI-DEMO-GT3,DEMO_WORKFLOW,DEMO路由,NONE,DEMO route configuration,PASS
实习请假,TRUE,KI-DEMO-INTERNSHIP,DEMO_WORKFLOW,DEMO路由,NONE,DEMO route configuration,PASS
心理预约,TRUE,KI-PUBLIC-PSY,PUBLIC_SERVICE,公共服务,S010,学生工作处办公电话,PASS
校医院电话,TRUE,KI-PUBLIC-HOSPITAL,PUBLIC_SERVICE,公共服务,S012,联系我们,PASS
保卫处电话,TRUE,KI-PUBLIC-SECURITY,PUBLIC_SERVICE,公共服务,S011,校园报警信息,PASS
报修,TRUE,KI-PUBLIC-REPAIR,PUBLIC_SERVICE,公共服务,S012,联系我们,PASS
